,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
270,70.0,"stock, bitcoin, currency, price, market, financial, trade, order, exchange, sell",,
271,103.0,"twitter, social, facebook, realtime, humor, blogge, apis, chatter, latest, interface",,
272,40.0,"friend, social, share, family, gift, social_network, stay, encourage, birthday, setup",,
273,165.0,"find, compare, good, comparison, side, quick, valuable, win, conduct, proprietary",,
274,22.0,"event, ticket, concert, calendar, venue, eventful, entertainment, live, purchase, seatwave",,
275,154.0,"music, lyric, song, play, playlist, artist, listen, spotify, rhapsody, rdio",,
276,87.0,"view, show, mapping, satellite, interesting, fashion, unemployment, optional, switch, webmaster",,
277,140.0,"search, set, vast, mark, thousand, ribbet, theft, flashcard, aggregator, registered",,
278,184.0,"transportation, route, bus, time, stop, estimate, schedule, transit, train, arrival",,
279,106.0,"health, activity, weight, fitness, medical, track, connect, care, healthy, nutrition",,
280,198.0,"mapping, sport, route, direction, bike, cycling, ride, trail, gps, run",,
281,118.0,"people, connection, talk, connect, relationship, miss, interaction, interested, press, touch",,
282,37.0,"call, telephony, voice, phone, record, message, pin, dial, audio, recording",,
283,28.0,"education, school, student, college, class, age, parent, family, campus, child",,
284,54.0,"music, artist, listen, audio, album, band, song, genre, myspace, musical",,
285,67.0,"mapping, government, public, loan, commercial, reference, include, nordic, law, dutch",,
286,76.0,"crime, voice, text, mobile, speech, recognition, police, safety, recognize, messaging",,
287,192.0,"ecommerce, item, shop, online, shopping, seller, buyer, feedback, etsy, regular",,
288,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",,
289,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",,
290,9.0,"movie, celebrity, tv, watch, favorite, trailer, film, actor, celebritie, title",,
291,103.0,"twitter, social, facebook, realtime, humor, blogge, apis, chatter, latest, interface",,
292,54.0,"music, artist, listen, audio, album, band, song, genre, myspace, musical",,
293,53.0,"review, rating, rank, popularity, ranking, rate, distribution, user_generated, power, recommendation",,
294,143.0,"advertising, marketing, campaign, ad, target, affiliate, generate, referral, earn, manage",,
295,54.0,"music, artist, listen, audio, album, band, song, genre, myspace, musical",,
296,154.0,"music, lyric, song, play, playlist, artist, listen, spotify, rhapsody, rdio",,
297,24.0,"photo, flickr, image, upload, describe, launch, interestingness, interesting, exploration, paragraph",,
298,33.0,"image, photo, thumbnail, preview, size, tile, collage, screenshot, upload, archive",,
299,108.0,"government, vote, financial, campaign, candidate, poll, political, contribution, organization, election",,
300,126.0,"share, favorite, friend, social, save, facebook_friend, couple, facebook, online, brand",,
301,103.0,"twitter, social, facebook, realtime, humor, blogge, apis, chatter, latest, interface",,
302,94.0,"city, mapping, mashup, town, scene, find, test, tribe, awareness, interact",,
303,48.0,"twitter, tweet, twitt, blogging, blogge, follower, timeline, hashtag, retweet, twitpic",,
